model,accuracy,macro_f1,obfuscated_recall
mlp,0.9617595601099725,0.9615768815950684,0.931060606060606
random_forest,0.9722569357660585,0.9721444940286164,0.9492424242424242
logistic_regression,0.9220194951262184,0.9213403603889444,0.8568181818181818
