name,recall on malicious_obfuscated
block_padding,0.995
constant_rate_shaping,0.98
protocol_mimicry,0.9625
random_padding,0.945
dummy_injection,0.9
tunnel_encapsulation,0.895
timing_jitter,0.795
fragmentation,0.6525
