name,recall on malicious_obfuscated
block_padding,0.9925
protocol_mimicry,0.9775
constant_rate_shaping,0.9675
random_padding,0.9325
tunnel_encapsulation,0.9075
dummy_injection,0.9025
timing_jitter,0.6925
fragmentation,0.6525
