name,importance
bytes_down,0.08631305015748754
byte_up_ratio,0.07940750727216589
pkt_up_ratio,0.060783217346764985
size_down_mean,0.054965582446932726
size_up_std,0.03278589207200836
size_down_std,0.03012470650537337
size_up_mean,0.029587836181459184
log_n_packets,0.0282079809890363
unique_size_ratio,0.027090871724215145
mode_size_frac,0.025644439283742444
bytes_up,0.025116331885176726
log_total_bytes,0.02365755993291035
total_bytes,0.022735549629488094
iat_entropy,0.022621296513320677
iat_up_cv,0.0225686904251808
