epoch,train_loss,train_acc,val_acc,val_macro_f1,val_obf_recall,val_fpr,lr
1.0,0.7014494950404534,0.74,0.8689563187729243,0.86570748625078,0.7141414141414142,0.1069676153091266,0.0009993147673772868
2.0,0.5002418420864986,0.8433076923076923,0.8859619873291097,0.8846030108020476,0.795959595959596,0.13052011776251227,0.0009972609476841365
3.0,0.468871103983659,0.8646153846153846,0.9079693231077026,0.9069729241943665,0.8363636363636363,0.10107948969578018,0.0009938441702975688
4.0,0.4434922775855431,0.8780769230769231,0.9076358786262088,0.9065173510166593,0.8303030303030303,0.09911678115799803,0.0009890738003669028
5.0,0.4175809836020836,0.8923076923076924,0.9163054351450484,0.9155369441099993,0.8565656565656565,0.10500490677134446,0.0009829629131445341
6.0,0.40631395791127134,0.8970769230769231,0.9276425475158386,0.9269560598333356,0.8707070707070707,0.08341511285574092,0.0009755282581475769
7.0,0.39348474566753094,0.902,0.9316438812937646,0.9312079450940333,0.8929292929292929,0.09322865554465162,0.0009667902132486009
8.0,0.38217563454921427,0.9094615384615384,0.9359786595531844,0.9356216781225859,0.898989898989899,0.08243375858684986,0.0009567727288213005
9.0,0.37841690529309785,0.9121538461538462,0.9366455485161721,0.9360241069498269,0.8777777777777778,0.05986261040235525,0.0009455032620941839
10.0,0.3674836295201228,0.9153076923076923,0.9303101033677893,0.9296569613382856,0.8757575757575757,0.08243375858684986,0.0009330127018922195
11.0,0.36237758229329037,0.9193846153846154,0.938646215405135,0.9381363046419512,0.8909090909090909,0.07360157016683022,0.0009193352839727121
12.0,0.36002988107387834,0.920923076923077,0.9439813271090364,0.9435245629510097,0.896969696969697,0.06280667320902845,0.0009045084971874737
13.0,0.3543180671655215,0.9228461538461539,0.9376458819606536,0.9371153973314555,0.8878787878787879,0.07163886162904809,0.0008885729807284855
14.0,0.34693193883162277,0.9273076923076923,0.9403134378126042,0.939898076947975,0.898989898989899,0.07654563297350343,0.0008715724127386972
15.0,0.34169509841845586,0.9276923076923077,0.9439813271090364,0.9434270679046826,0.8898989898989899,0.05593719332679097,0.0008535533905932739
16.0,0.34194222494272086,0.9278461538461539,0.9436478826275425,0.9433133814086195,0.907070707070707,0.07163886162904809,0.0008345653031794292
17.0,0.34134776854515075,0.9293846153846154,0.9429809936645549,0.9425474942664348,0.896969696969697,0.06280667320902845,0.0008146601955249188
18.0,0.3347689273907588,0.932076923076923,0.9409803267755918,0.9404876144610069,0.8939393939393939,0.07065750736015702,0.0007938926261462366
19.0,0.3336201525284694,0.933923076923077,0.9456485495165055,0.9452426554109755,0.9030303030303031,0.0647693817468106,0.0007723195175075136
20.0,0.3292987005894001,0.9342307692307692,0.9429809936645549,0.9425965860820232,0.9030303030303031,0.07262021589793916,0.00075
21.0,0.32986542281737696,0.9335384615384615,0.9519839946648883,0.9517170413958463,0.9202020202020202,0.06378802747791953,0.0007269952498697733
22.0,0.3248671391377082,0.9364615384615385,0.946648882960987,0.9463103211531793,0.9090909090909091,0.06673209028459273,0.0007033683215379002
23.0,0.32478700823050277,0.9361538461538461,0.9456485495165055,0.9452695800799091,0.9050505050505051,0.06575073601570167,0.0006791839747726503
24.0,0.3230836672782898,0.937,0.9459819939979993,0.9455958150145046,0.9050505050505051,0.06575073601570167,0.0006545084971874737
25.0,0.3210271516579848,0.9397692307692308,0.9509836612204068,0.9506828727899267,0.9161616161616162,0.06280667320902845,0.0006294095225512603
26.0,0.31615985030394333,0.9383076923076923,0.9489829943314438,0.9485881875056102,0.9050505050505051,0.05691854759568204,0.0006039558454088795
27.0,0.31694583832300627,0.9408461538461539,0.9499833277759253,0.9495361179161897,0.902020202020202,0.052011776251226695,0.0005782172325201154
28.0,0.31452207469940185,0.9414615384615385,0.9513171057019006,0.9509287169149073,0.908080808080808,0.053974484789008834,0.0005522642316338267
29.0,0.31335248921467707,0.9426923076923077,0.9549849949983328,0.9547249816770379,0.9222222222222223,0.05593719332679097,0.0005261679781214719
30.0,0.31235533805993887,0.942,0.952650883627876,0.9522892819191767,0.9111111111111111,0.05299313052011776,0.0005000000000000001
31.0,0.3114612735601572,0.9433846153846154,0.9549849949983328,0.9546618352735449,0.9161616161616162,0.05103042198233562,0.00047383202187852816
32.0,0.3061137946202205,0.9445384615384615,0.9539846615538513,0.9536446843276716,0.9131313131313131,0.050049067713444556,0.00044773576836617336
33.0,0.30734080303632294,0.9422307692307692,0.9523174391463821,0.9520807205212787,0.9232323232323232,0.0647693817468106,0.0004217827674798846
