series,epsilon,accuracy
domain-constrained,0.0,0.93
domain-constrained,0.02,0.806
domain-constrained,0.05,0.57
domain-constrained,0.1,0.486
domain-constrained,0.2,0.418
domain-constrained,0.3,0.382
unconstrained,0.0,0.93
unconstrained,0.02,0.736
unconstrained,0.05,0.474
unconstrained,0.1,0.35
unconstrained,0.2,0.168
unconstrained,0.3,0.07
