epoch,train_loss,train_acc,val_acc,val_macro_f1,val_obf_recall,val_fpr,lr
1.0,0.7033372956789457,0.741,0.8302767589196399,0.82495697172003,0.6343434343434343,0.14033366045142295,0.0009993147673772868
2.0,0.5166336947954618,0.8375384615384616,0.8719573191063688,0.8696305261835754,0.7535353535353535,0.12266928361138371,0.0009972609476841365
3.0,0.4733885858242328,0.8605384615384616,0.8746248749583194,0.8719901070242452,0.7444444444444445,0.11383709519136408,0.0009938441702975688
4.0,0.4512570110467764,0.875,0.8852950983661221,0.883745688886631,0.7929292929292929,0.13444553483807656,0.0009890738003669028
5.0,0.4349514233149015,0.8826923076923077,0.8946315438479493,0.8934659443693193,0.8121212121212121,0.10794896957801767,0.0009829629131445341
6.0,0.4209464756158682,0.8867692307692308,0.9016338779593198,0.9003490202042053,0.8191919191919191,0.10500490677134446,0.0009755282581475769
7.0,0.40966089032246517,0.8938461538461538,0.9046348782927642,0.9035079995738632,0.8282828282828283,0.11089303238469088,0.0009667902132486009
8.0,0.40301783325121954,0.8964615384615384,0.9043014338112704,0.9031582090263067,0.8232323232323232,0.10794896957801767,0.0009567727288213005
9.0,0.3996404106983772,0.8982307692307693,0.9023007669223074,0.9002855832126745,0.7878787878787878,0.07948969578017664,0.0009455032620941839
10.0,0.39181467487261845,0.9023076923076923,0.9126375458486162,0.9118848854691418,0.8494949494949495,0.10107948969578018,0.0009330127018922195
11.0,0.3821271216685955,0.9063846153846153,0.9146382127375792,0.9134953598676879,0.8333333333333334,0.08047105004906771,0.0009193352839727121
12.0,0.37788338943628164,0.9083846153846153,0.906968989663221,0.9053616416103821,0.8080808080808081,0.08635917566241413,0.0009045084971874737
13.0,0.3722511319013742,0.9106153846153846,0.9159719906635545,0.9143303854723195,0.8141414141414142,0.06378802747791953,0.0008885729807284855
14.0,0.3694948961918171,0.915,0.918972990996999,0.918075480317445,0.8505050505050505,0.09028459273797841,0.0008715724127386972
15.0,0.3621725366482368,0.9162307692307692,0.9176392130710237,0.9164968426076839,0.8373737373737373,0.08047105004906771,0.0008535533905932739
16.0,0.3605079448589912,0.9185384615384615,0.9093031010336778,0.9076467323213593,0.8090909090909091,0.06575073601570167,0.0008345653031794292
17.0,0.36157025219843936,0.9162307692307692,0.910970323441147,0.909475503470972,0.8151515151515152,0.08047105004906771,0.0008146601955249188
18.0,0.3565394555972173,0.9177692307692308,0.9203067689229744,0.9193520772839703,0.8474747474747475,0.08243375858684986,0.0007938926261462366
19.0,0.3505388438518231,0.9236153846153846,0.920973657885962,0.9198989470407128,0.8434343434343434,0.07850834151128558,0.0007723195175075136
20.0,0.3480121299853692,0.9243846153846154,0.9193064354784928,0.9181657660428524,0.8363636363636363,0.0775269872423945,0.00075
21.0,0.35025299006242017,0.9213846153846154,0.922974324774925,0.921650869299509,0.8343434343434344,0.06280667320902845,0.0007269952498697733
22.0,0.34601209526795607,0.924,0.9236412137379126,0.9227057240606232,0.8515151515151516,0.0775269872423945,0.0007033683215379002
23.0,0.343027101791822,0.9262307692307692,0.920973657885962,0.9198554099129296,0.8393939393939394,0.06182531894013739,0.0006791839747726503
24.0,0.3399857818896954,0.9276153846153846,0.9253084361453818,0.924497183542485,0.8595959595959596,0.0775269872423945,0.0006545084971874737
25.0,0.33551155037146346,0.9302307692307692,0.9236412137379126,0.9229368794943081,0.8616161616161616,0.07948969578017664,0.0006294095225512603
26.0,0.3371610137499296,0.9287692307692308,0.9213071023674558,0.9199965903061088,0.8333333333333334,0.06673209028459273,0.0006039558454088795
27.0,0.33499442228904136,0.9316923076923077,0.9253084361453818,0.924330850718679,0.8505050505050505,0.06378802747791953,0.0005782172325201154
28.0,0.3319014138441819,0.9317692307692308,0.9266422140713572,0.9255269063037663,0.8464646464646465,0.06575073601570167,0.0005522642316338267
29.0,0.3299797251224518,0.9321538461538461,0.9233077692564188,0.922096434425001,0.8363636363636363,0.06575073601570167,0.0005261679781214719
30.0,0.3291946538778452,0.9335384615384615,0.9286428809603201,0.9278790855329954,0.8646464646464647,0.07556427870461237,0.0005000000000000001
31.0,0.32532367658615113,0.934923076923077,0.9279759919973325,0.9272155743482574,0.8626262626262626,0.07360157016683022,0.00047383202187852816
32.0,0.3247106210635259,0.934923076923077,0.9299766588862954,0.9292298647373215,0.8666666666666667,0.06967615309126594,0.00044773576836617336
33.0,0.321287924014605,0.9356153846153846,0.9283094364788262,0.9275734506781953,0.8646464646464647,0.07850834151128558,0.0004217827674798846
34.0,0.3203095838473393,0.9393076923076923,0.9299766588862954,0.9291336105274869,0.8616161616161616,0.06575073601570167,0.00039604415459112036
35.0,0.32034332486299366,0.9367692307692308,0.9309769923307769,0.9302425379792645,0.8676767676767677,0.07163886162904809,0.00037059047744873974
36.0,0.31583068667925324,0.94,0.9316438812937646,0.9309911849222505,0.8727272727272727,0.07262021589793916,0.0003454915028125264
37.0,0.31903234190207264,0.938,0.9299766588862954,0.9290877326259253,0.8595959595959596,0.06673209028459273,0.0003208160252273499
38.0,0.31835626967136677,0.9376153846153846,0.9313104368122708,0.9305044734094654,0.8646464646464647,0.06575073601570167,0.0002966316784621
39.0,0.31461291870704067,0.9401538461538461,0.9323107702567522,0.9315784569289277,0.8686868686868687,0.06771344455348381,0.0002730047501302267
40.0,0.31290201491575975,0.9408461538461539,0.9296432144048016,0.9285661731537896,0.8494949494949495,0.05789990186457311,0.00025000000000000017
41.0,0.31348663447453423,0.9406923076923077,0.9299766588862954,0.9289154718884047,0.8505050505050505,0.0549558390578999,0.00022768048249248665
42.0,0.3114883514184218,0.9416923076923077,0.9293097699233077,0.9283874194752896,0.8575757575757575,0.06771344455348381,0.00020610737385376354
43.0,0.3101840383089506,0.941923076923077,0.9303101033677893,0.929239696073301,0.8505050505050505,0.05789990186457311,0.0001853398044750814
44.0,0.30482550901633043,0.9456923076923077,0.9323107702567522,0.9313281581317643,0.8565656565656565,0.05789990186457311,0.0001654346968205711
45.0,0.3070944739580154,0.943,0.934644881627209,0.9339444085404818,0.8727272727272727,0.06673209028459273,0.0001464466094067263
46.0,0.30741479024520285,0.9426923076923077,0.9309769923307769,0.9300745509150508,0.8585858585858586,0.0647693817468106,0.00012842758726130298
47.0,0.30701684504288895,0.944923076923077,0.9309769923307769,0.9300290733410135,0.8565656565656565,0.06280667320902845,0.00011142701927151459
48.0,0.3053740397600027,0.9432307692307692,0.9336445481827276,0.9328895593106878,0.8686868686868687,0.0647693817468106,9.549150281252635e-05
49.0,0.30800211374576275,0.9423076923076923,0.934644881627209,0.9339625638381879,0.8737373737373737,0.06575073601570167,8.066471602728805e-05
50.0,0.3068685061564812,0.9442307692307692,0.93297765921974,0.9321147910732619,0.8626262626262626,0.06084396467124632,6.698729810778066e-05
51.0,0.3062822539622967,0.9435384615384615,0.93297765921974,0.9322009010992448,0.8666666666666667,0.06378802747791953,5.449673790581612e-05
52.0,0.3053784672480363,0.947076923076923,0.9353117705901968,0.934547030299049,0.8696969696969697,0.06182531894013739,4.322727117869952e-05
53.0,0.30243268750264096,0.9446153846153846,0.9343114371457152,0.9335406593580631,0.8686868686868687,0.06378802747791953,3.3209786751399136e-05
54.0,0.30492097487816444,0.9444615384615385,0.934644881627209,0.9339788496986857,0.8747474747474747,0.0647693817468106,2.4471741852423238e-05
55.0,0.3030548904492305,0.9442307692307692,0.93297765921974,0.9321786878258284,0.8656565656565657,0.0647693817468106,1.7037086855465846e-05
56.0,0.3018319489589104,0.9473846153846154,0.93297765921974,0.932166307713373,0.8656565656565657,0.0647693817468106,1.0926199633097158e-05
57.0,0.3017753079487727,0.9474615384615385,0.9336445481827276,0.932844035114276,0.8666666666666667,0.0647693817468106,6.155829702431172e-06
58.0,0.303207168340683,0.9447692307692308,0.93297765921974,0.9320952849518429,0.8616161616161616,0.06182531894013739,2.7390523158633003e-06
59.0,0.3030023048107441,0.9443846153846154,0.934644881627209,0.9339080375882074,0.8707070707070707,0.0647693817468106,6.852326227130837e-07
60.0,0.2989458835858565,0.9471538461538461,0.9343114371457152,0.9335385560502422,0.8686868686868687,0.0647693817468106,0.0
