model,accuracy,macro_f1,obfuscated_recall
cnn1d,0.9410147463134216,0.9404194011196494,0.8856060606060606
random_forest,0.9722569357660585,0.9721444940286164,0.9492424242424242
rbf_svm,0.9682579355161209,0.9680965355871268,0.9386363636363636
logistic_regression,0.9220194951262184,0.9213403603889444,0.8568181818181818
